Size,DataType,ThreadPercentage,Time(s),Memory(MB),Repetition
128,long,100.0000,0.0302,0.3750,5
128,long,100.0000,0.0387,0.3750,avg
128,float,100.0000,0.0194,0.1875,1
128,float,100.0000,0.0203,0.1875,2
128,float,100.0000,0.0191,0.1875,3
128,float,100.0000,0.0285,0.1875,4
128,float,100.0000,0.0289,0.1875,5
128,float,100.0000,0.0232,0.1875,avg
128,double,100.0000,0.0573,0.3750,1
128,double,100.0000,0.0656,0.3750,2
128,double,100.0000,0.0570,0.3750,3
128,double,100.0000,0.0573,0.3750,4
128,double,100.0000,0.0572,0.3750,5
128,double,100.0000,0.0589,0.3750,avg
256,short,10.0000,0.0316,0.3750,1
256,short,10.0000,0.0411,0.3750,2
256,short,10.0000,0.0410,0.3750,3
256,short,10.0000,0.0796,0.3750,4
256,short,10.0000,0.0321,0.3750,5
256,short,10.0000,0.0451,0.3750,avg
256,long,10.0000,0.0350,1.5000,1
256,long,10.0000,0.0436,1.5000,2
256,long,10.0000,0.0346,1.5000,3
256,long,10.0000,0.0335,1.5000,4
256,long,10.0000,0.0435,1.5000,5
256,long,10.0000,0.0380,1.5000,avg
256,float,10.0000,0.0328,0.7500,1
256,float,10.0000,0.0324,0.7500,2
256,float,10.0000,0.0416,0.7500,3
256,float,10.0000,0.0410,0.7500,4
256,float,10.0000,0.0411,0.7500,5
256,float,10.0000,0.0378,0.7500,avg
256,double,10.0000,0.1083,1.5000,1
256,double,10.0000,0.1073,1.5000,2
256,double,10.0000,0.1167,1.5000,3
256,double,10.0000,0.1069,1.5000,4
256,double,10.0000,0.1077,1.5000,5
256,double,10.0000,0.1094,1.5000,avg
256,short,50.0000,0.0328,0.3750,1
256,short,50.0000,0.0327,0.3750,2
256,short,50.0000,0.0337,0.3750,3
256,short,50.0000,0.0421,0.3750,4
256,short,50.0000,0.0321,0.3750,5
256,short,50.0000,0.0347,0.3750,avg
256,long,50.0000,0.0363,1.5000,1
256,long,50.0000,0.0436,1.5000,2
256,long,50.0000,0.0344,1.5000,3
256,long,50.0000,0.0695,1.5000,4
256,long,50.0000,0.0348,1.5000,5
256,long,50.0000,0.0437,1.5000,avg
256,float,50.0000,0.0328,0.7500,1
256,float,50.0000,0.0419,0.7500,2
256,float,50.0000,0.0328,0.7500,3
256,float,50.0000,0.0428,0.7500,4
256,float,50.0000,0.0326,0.7500,5
256,float,50.0000,0.0366,0.7500,avg
256,double,50.0000,0.1075,1.5000,1
256,double,50.0000,0.1178,1.5000,2
256,double,50.0000,0.1082,1.5000,3
256,double,50.0000,0.1085,1.5000,4
256,double,50.0000,0.1074,1.5000,5
256,double,50.0000,0.1099,1.5000,avg
256,short,100.0000,0.0331,0.3750,1
256,short,100.0000,0.0328,0.3750,2
256,short,100.0000,0.0419,0.3750,3
256,short,100.0000,0.0331,0.3750,4
256,short,100.0000,0.0430,0.3750,5
256,short,100.0000,0.0368,0.3750,avg
256,long,100.0000,0.0553,1.5000,1
256,long,100.0000,0.0537,1.5000,2
256,long,100.0000,0.0540,1.5000,3
256,long,100.0000,0.0546,1.5000,4
256,long,100.0000,0.0547,1.5000,5
256,long,100.0000,0.0545,1.5000,avg
256,float,100.0000,0.0348,0.7500,1
256,float,100.0000,0.0430,0.7500,2
256,float,100.0000,0.0332,0.7500,3
256,float,100.0000,0.0430,0.7500,4
256,float,100.0000,0.0343,0.7500,5
256,float,100.0000,0.0377,0.7500,avg
256,double,100.0000,0.1085,1.5000,1
256,double,100.0000,0.1086,1.5000,2
256,double,100.0000,0.1090,1.5000,3
256,double,100.0000,0.1085,1.5000,4
256,double,100.0000,0.1087,1.5000,5
256,double,100.0000,0.1087,1.5000,avg
512,short,10.0000,0.0594,1.5000,1
512,short,10.0000,0.0676,1.5000,2
512,short,10.0000,0.0580,1.5000,3
512,short,10.0000,0.0585,1.5000,4
512,short,10.0000,0.0587,1.5000,5
512,short,10.0000,0.0604,1.5000,avg
512,long,10.0000,0.0635,6.0000,1
512,long,10.0000,0.0630,6.0000,2
512,long,10.0000,0.0634,6.0000,3
512,long,10.0000,0.0615,6.0000,4
512,long,10.0000,0.0631,6.0000,5
512,long,10.0000,0.0629,6.0000,avg
512,float,10.0000,0.0598,3.0000,1
512,float,10.0000,0.0604,3.0000,2
512,float,10.0000,0.0598,3.0000,3
512,float,10.0000,0.0595,3.0000,4
512,float,10.0000,0.0596,3.0000,5
512,float,10.0000,0.0598,3.0000,avg
512,double,10.0000,0.2109,6.0000,1
512,double,10.0000,0.2203,6.0000,2
512,double,10.0000,0.2107,6.0000,3
512,double,10.0000,0.2094,6.0000,4
512,double,10.0000,0.2106,6.0000,5
512,double,10.0000,0.2124,6.0000,avg
512,short,50.0000,0.0680,1.5000,1
512,short,50.0000,0.0579,1.5000,2
512,short,50.0000,0.0682,1.5000,3
512,short,50.0000,0.0591,1.5000,4
512,short,50.0000,0.0693,1.5000,5
512,short,50.0000,0.0645,1.5000,avg
512,long,50.0000,0.0639,6.0000,1
512,long,50.0000,0.0633,6.0000,2
512,long,50.0000,0.0635,6.0000,3
512,long,50.0000,0.0632,6.0000,4
512,long,50.0000,0.0622,6.0000,5
512,long,50.0000,0.0632,6.0000,avg
512,float,50.0000,0.0614,3.0000,1
512,float,50.0000,0.0697,3.0000,2
512,float,50.0000,0.0602,3.0000,3
512,float,50.0000,0.0596,3.0000,4
512,float,50.0000,0.0597,3.0000,5
512,float,50.0000,0.0621,3.0000,avg
512,double,50.0000,0.2109,6.0000,1
512,double,50.0000,0.2109,6.0000,2
512,double,50.0000,0.2109,6.0000,3
512,double,50.0000,0.2108,6.0000,4
512,double,50.0000,0.2096,6.0000,5
512,double,50.0000,0.2106,6.0000,avg
512,short,100.0000,0.0614,1.5000,1
512,short,100.0000,0.0707,1.5000,2
512,short,100.0000,0.0594,1.5000,3
512,short,100.0000,0.0692,1.5000,4
512,short,100.0000,0.0604,1.5000,5
512,short,100.0000,0.0642,1.5000,avg
512,long,100.0000,0.1044,6.0000,1
512,long,100.0000,0.1025,6.0000,2
512,long,100.0000,0.1036,6.0000,3
512,long,100.0000,0.1039,6.0000,4
512,long,100.0000,0.1033,6.0000,5
512,long,100.0000,0.1035,6.0000,avg
512,float,100.0000,0.0631,3.0000,1
512,float,100.0000,0.0614,3.0000,2
512,float,100.0000,0.0614,3.0000,3
512,float,100.0000,0.0628,3.0000,4
512,float,100.0000,0.0614,3.0000,5
512,float,100.0000,0.0620,3.0000,avg
512,double,100.0000,0.2130,6.0000,1
512,double,100.0000,0.2109,6.0000,2
512,double,100.0000,0.2116,6.0000,3
512,double,100.0000,0.2111,6.0000,4
512,double,100.0000,0.2112,6.0000,5
512,double,100.0000,0.2116,6.0000,avg
1024,short,10.0000,0.1114,6.0000,1
1024,short,10.0000,0.1107,6.0000,2
1024,short,10.0000,0.1105,6.0000,3
1024,short,10.0000,0.1106,6.0000,4
1024,short,10.0000,0.1106,6.0000,5
1024,short,10.0000,0.1108,6.0000,avg
1024,long,10.0000,0.1208,24.0000,1
1024,long,10.0000,0.1202,24.0000,2
1024,long,10.0000,0.1189,24.0000,3
1024,long,10.0000,0.1205,24.0000,4
1024,long,10.0000,0.1192,24.0000,5
1024,long,10.0000,0.1199,24.0000,avg
1024,float,10.0000,0.1147,12.0000,1
1024,float,10.0000,0.1136,12.0000,2
1024,float,10.0000,0.1147,12.0000,3
1024,float,10.0000,0.1144,12.0000,4
1024,float,10.0000,0.1147,12.0000,5
1024,float,10.0000,0.1144,12.0000,avg
1024,double,10.0000,0.4157,24.0000,1
1024,double,10.0000,0.4143,24.0000,2
1024,double,10.0000,0.4144,24.0000,3
1024,double,10.0000,0.4150,24.0000,4
1024,double,10.0000,0.4153,24.0000,5
1024,double,10.0000,0.4150,24.0000,avg
1024,short,50.0000,0.1114,6.0000,1
1024,short,50.0000,0.1106,6.0000,2
1024,short,50.0000,0.1110,6.0000,3
1024,short,50.0000,0.1111,6.0000,4
1024,short,50.0000,0.1106,6.0000,5
1024,short,50.0000,0.1109,6.0000,avg
1024,long,50.0000,0.1208,24.0000,1
1024,long,50.0000,0.1208,24.0000,2
1024,long,50.0000,0.1208,24.0000,3
1024,long,50.0000,0.1208,24.0000,4
1024,long,50.0000,0.1208,24.0000,5
1024,long,50.0000,0.1208,24.0000,avg
1024,float,50.0000,0.1152,12.0000,1
1024,float,50.0000,0.1150,12.0000,2
1024,float,50.0000,0.1163,12.0000,3
1024,float,50.0000,0.1150,12.0000,4
1024,float,50.0000,0.1249,12.0000,5
1024,float,50.0000,0.1173,12.0000,avg
1024,double,50.0000,0.7656,24.0000,1
1024,double,50.0000,0.9687,24.0000,2
1024,double,50.0000,0.4157,24.0000,3
1024,double,50.0000,0.4164,24.0000,4
1024,double,50.0000,0.4159,24.0000,5
1024,double,50.0000,0.5965,24.0000,avg
1024,short,100.0000,0.1142,6.0000,1
1024,short,100.0000,0.1133,6.0000,2
1024,short,100.0000,0.1126,6.0000,3
1024,short,100.0000,0.1131,6.0000,4
1024,short,100.0000,0.1129,6.0000,5
1024,short,100.0000,0.1132,6.0000,avg
1024,long,100.0000,0.2009,24.0000,1
1024,long,100.0000,0.2009,24.0000,2
1024,long,100.0000,0.2010,24.0000,3
1024,long,100.0000,0.2007,24.0000,4
1024,long,100.0000,0.2009,24.0000,5
1024,long,100.0000,0.2009,24.0000,avg
1024,float,100.0000,0.1185,12.0000,1
1024,float,100.0000,0.1171,12.0000,2
1024,float,100.0000,0.1168,12.0000,3
1024,float,100.0000,0.1180,12.0000,4
1024,float,100.0000,0.1174,12.0000,5
1024,float,100.0000,0.1176,12.0000,avg
1024,double,100.0000,0.4178,24.0000,1
1024,double,100.0000,0.4178,24.0000,2
1024,double,100.0000,0.4178,24.0000,3
1024,double,100.0000,0.4182,24.0000,4
1024,double,100.0000,0.4177,24.0000,5
1024,double,100.0000,0.4179,24.0000,avg
2048,short,10.0000,0.2159,24.0000,1
2048,short,10.0000,0.2160,24.0000,2
2048,short,10.0000,0.2155,24.0000,3
2048,short,10.0000,0.2164,24.0000,4
2048,short,10.0000,0.2168,24.0000,5
2048,short,10.0000,0.2161,24.0000,avg
2048,long,10.0000,0.2335,96.0000,1
2048,long,10.0000,0.2335,96.0000,2
2048,long,10.0000,0.2332,96.0000,3
2048,long,10.0000,0.2332,96.0000,4
2048,long,10.0000,0.2330,96.0000,5
2048,long,10.0000,0.2333,96.0000,avg
2048,float,10.0000,0.2240,48.0000,1
2048,float,10.0000,0.2232,48.0000,2
2048,float,10.0000,0.2232,48.0000,3
2048,float,10.0000,0.2232,48.0000,4
2048,float,10.0000,0.2234,48.0000,5
2048,float,10.0000,0.2234,48.0000,avg
2048,double,10.0000,1.3144,96.0000,1
2048,double,10.0000,0.8253,96.0000,2
2048,double,10.0000,0.8255,96.0000,3
2048,double,10.0000,0.8255,96.0000,4
2048,double,10.0000,0.8253,96.0000,5
2048,double,10.0000,0.9232,96.0000,avg
2048,short,50.0000,0.2175,24.0000,1
2048,short,50.0000,0.2174,24.0000,2
2048,short,50.0000,0.2171,24.0000,3
2048,short,50.0000,0.2172,24.0000,4
2048,short,50.0000,0.2172,24.0000,5
2048,short,50.0000,0.2173,24.0000,avg
2048,long,50.0000,0.2340,96.0000,1
2048,long,50.0000,0.2335,96.0000,2
2048,long,50.0000,0.2340,96.0000,3
2048,long,50.0000,0.2348,96.0000,4
2048,long,50.0000,0.2337,96.0000,5
2048,long,50.0000,0.2340,96.0000,avg
2048,float,50.0000,0.2248,48.0000,1
2048,float,50.0000,0.2240,48.0000,2
2048,float,50.0000,0.2245,48.0000,3
2048,float,50.0000,0.2238,48.0000,4
2048,float,50.0000,0.2248,48.0000,5
2048,float,50.0000,0.2244,48.0000,avg
2048,double,50.0000,0.8269,96.0000,1
2048,double,50.0000,1.1896,96.0000,2
2048,double,50.0000,1.3059,96.0000,3
2048,double,50.0000,0.8257,96.0000,4
2048,double,50.0000,0.8260,96.0000,5
2048,double,50.0000,0.9948,96.0000,avg
2048,short,100.0000,0.2207,24.0000,1
2048,short,100.0000,0.2209,24.0000,2
2048,short,100.0000,0.2210,24.0000,3
2048,short,100.0000,0.2203,24.0000,4
2048,short,100.0000,0.2199,24.0000,5
2048,short,100.0000,0.2205,24.0000,avg
2048,long,100.0000,0.3953,96.0000,1
2048,long,100.0000,0.3968,96.0000,2
2048,long,100.0000,0.3965,96.0000,3
2048,long,100.0000,0.3958,96.0000,4
2048,long,100.0000,0.3955,96.0000,5
2048,long,100.0000,0.3960,96.0000,avg
2048,float,100.0000,0.2278,48.0000,1
2048,float,100.0000,0.2273,48.0000,2
2048,float,100.0000,0.2273,48.0000,3
2048,float,100.0000,0.2273,48.0000,4
2048,float,100.0000,0.2273,48.0000,5
2048,float,100.0000,0.2274,48.0000,avg
2048,double,100.0000,0.8294,96.0000,1
2048,double,100.0000,0.8290,96.0000,2
2048,double,100.0000,1.2486,96.0000,3
2048,double,100.0000,1.9743,96.0000,4
2048,double,100.0000,0.8293,96.0000,5
2048,double,100.0000,1.1421,96.0000,avg
4096,short,10.0000,0.4277,96.0000,1
4096,short,10.0000,0.4267,96.0000,2
4096,short,10.0000,0.4263,96.0000,3
4096,short,10.0000,0.7715,96.0000,4
4096,short,10.0000,0.4260,96.0000,5
4096,short,10.0000,0.4956,96.0000,avg
4096,long,10.0000,0.8070,384.0000,1
4096,long,10.0000,1.0921,384.0000,2
4096,long,10.0000,0.4608,384.0000,3
4096,long,10.0000,0.4608,384.0000,4
4096,long,10.0000,0.4591,384.0000,5
4096,long,10.0000,0.6560,384.0000,avg
4096,float,10.0000,0.4424,192.0000,1
4096,float,10.0000,0.9282,192.0000,2
4096,float,10.0000,0.4421,192.0000,3
4096,float,10.0000,0.4418,192.0000,4
4096,float,10.0000,0.4417,192.0000,5
4096,float,10.0000,0.5392,192.0000,avg
4096,double,10.0000,2.2735,384.0000,1
4096,double,10.0000,1.6445,384.0000,2
4096,double,10.0000,1.6466,384.0000,3
4096,double,10.0000,1.6445,384.0000,4
4096,double,10.0000,1.6476,384.0000,5
4096,double,10.0000,1.7714,384.0000,avg
4096,short,50.0000,0.4283,96.0000,1
4096,short,50.0000,0.4280,96.0000,2
4096,short,50.0000,0.4280,96.0000,3
4096,short,50.0000,0.4288,96.0000,4
4096,short,50.0000,0.4285,96.0000,5
4096,short,50.0000,0.4283,96.0000,avg
4096,long,50.0000,0.4608,384.0000,1
4096,long,50.0000,0.8212,384.0000,2
4096,long,50.0000,0.4608,384.0000,3
4096,long,50.0000,0.4626,384.0000,4
4096,long,50.0000,0.4608,384.0000,5
4096,long,50.0000,0.5332,384.0000,avg
4096,float,50.0000,0.4428,192.0000,1
4096,float,50.0000,0.4436,192.0000,2
4096,float,50.0000,0.7982,192.0000,3
4096,float,50.0000,1.0610,192.0000,4
4096,float,50.0000,0.4429,192.0000,5
4096,float,50.0000,0.6377,192.0000,avg
4096,double,50.0000,1.6476,384.0000,1
4096,double,50.0000,1.6497,384.0000,2
4096,double,50.0000,1.6498,384.0000,3
4096,double,50.0000,1.6467,384.0000,4
4096,double,50.0000,1.6486,384.0000,5
4096,double,50.0000,1.6485,384.0000,avg
4096,short,100.0000,0.4339,96.0000,1
4096,short,100.0000,0.4327,96.0000,2
4096,short,100.0000,0.4327,96.0000,3
4096,short,100.0000,0.4329,96.0000,4
4096,short,100.0000,0.4338,96.0000,5
4096,short,100.0000,0.4332,96.0000,avg
4096,long,100.0000,0.7841,384.0000,1
4096,long,100.0000,0.7837,384.0000,2
4096,long,100.0000,1.7660,384.0000,3
4096,long,100.0000,0.7832,384.0000,4
4096,long,100.0000,0.7839,384.0000,5
4096,long,100.0000,0.9802,384.0000,avg
4096,float,100.0000,0.4485,192.0000,1
4096,float,100.0000,0.4482,192.0000,2
4096,float,100.0000,0.4479,192.0000,3
4096,float,100.0000,0.4467,192.0000,4
4096,float,100.0000,0.4478,192.0000,5
4096,float,100.0000,0.4478,192.0000,avg
4096,double,100.0000,1.6518,384.0000,1
4096,double,100.0000,1.6526,384.0000,2
4096,double,100.0000,1.9927,384.0000,3
4096,double,100.0000,2.1807,384.0000,4
4096,double,100.0000,1.6516,384.0000,5
4096,double,100.0000,1.8259,384.0000,avg
8192,short,10.0000,0.8494,384.0000,1
8192,short,10.0000,1.1919,384.0000,2
8192,short,10.0000,0.8483,384.0000,3
8192,short,10.0000,0.8494,384.0000,4
8192,short,10.0000,0.8490,384.0000,5
8192,short,10.0000,0.9176,384.0000,avg
8192,long,10.0000,0.9137,1536.0000,1
8192,long,10.0000,0.9115,1536.0000,2
8192,long,10.0000,0.9131,1536.0000,3
8192,long,10.0000,0.9134,1536.0000,4
8192,long,10.0000,0.9134,1536.0000,5
8192,long,10.0000,0.9130,1536.0000,avg
8192,float,10.0000,0.7008,768.0000,1
8192,float,10.0000,0.7004,768.0000,2
8192,float,10.0000,0.6987,768.0000,3
8192,float,10.0000,0.6990,768.0000,4
8192,float,10.0000,0.7000,768.0000,5
8192,float,10.0000,0.6998,768.0000,avg
8192,double,10.0000,3.2913,1536.0000,1
8192,double,10.0000,2.6187,1536.0000,2
8192,double,10.0000,2.6192,1536.0000,3
8192,double,10.0000,2.6179,1536.0000,4
8192,double,10.0000,2.6181,1536.0000,5
8192,double,10.0000,2.7530,1536.0000,avg
8192,short,50.0000,0.8514,384.0000,1
8192,short,50.0000,0.8515,384.0000,2
8192,short,50.0000,0.8520,384.0000,3
8192,short,50.0000,0.8502,384.0000,4
8192,short,50.0000,0.8514,384.0000,5
8192,short,50.0000,0.8513,384.0000,avg
8192,long,50.0000,0.9170,1536.0000,1
8192,long,50.0000,0.9159,1536.0000,2
8192,long,50.0000,1.4118,1536.0000,3
8192,long,50.0000,0.9172,1536.0000,4
8192,long,50.0000,0.9156,1536.0000,5
8192,long,50.0000,1.0155,1536.0000,avg
8192,float,50.0000,0.7045,768.0000,1
8192,float,50.0000,0.7033,768.0000,2
8192,float,50.0000,0.7040,768.0000,3
8192,float,50.0000,0.7032,768.0000,4
8192,float,50.0000,0.7044,768.0000,5
8192,float,50.0000,0.7039,768.0000,avg
8192,double,50.0000,3.0169,1536.0000,1
8192,double,50.0000,2.6264,1536.0000,2
8192,double,50.0000,2.6044,1536.0000,3
8192,double,50.0000,3.0556,1536.0000,4
8192,double,50.0000,2.6046,1536.0000,5
8192,double,50.0000,2.7816,1536.0000,avg
8192,short,100.0000,0.8584,384.0000,1
8192,short,100.0000,0.8587,384.0000,2
8192,short,100.0000,0.8594,384.0000,3
8192,short,100.0000,0.8596,384.0000,4
8192,short,100.0000,0.8584,384.0000,5
8192,short,100.0000,0.8589,384.0000,avg
8192,long,100.0000,1.5612,1536.0000,1
8192,long,100.0000,1.5617,1536.0000,2
8192,long,100.0000,1.5616,1536.0000,3
8192,long,100.0000,1.5608,1536.0000,4
8192,long,100.0000,2.1156,1536.0000,5
8192,long,100.0000,1.6722,1536.0000,avg
8192,float,100.0000,0.7099,768.0000,1
8192,float,100.0000,0.7103,768.0000,2
8192,float,100.0000,0.7093,768.0000,3
8192,float,100.0000,0.7102,768.0000,4
8192,float,100.0000,0.7092,768.0000,5
8192,float,100.0000,0.7098,768.0000,avg
8192,double,100.0000,2.6173,1536.0000,1
8192,double,100.0000,2.6152,1536.0000,2
8192,double,100.0000,2.6146,1536.0000,3
8192,double,100.0000,4.0429,1536.0000,4
8192,double,100.0000,2.6152,1536.0000,5
8192,double,100.0000,2.9010,1536.0000,avg
16384,short,10.0000,2.0972,1536.0000,1
16384,short,10.0000,1.2100,1536.0000,2
16384,short,10.0000,1.2104,1536.0000,3
16384,short,10.0000,1.2092,1536.0000,4
16384,short,10.0000,1.2100,1536.0000,5
16384,short,10.0000,1.3874,1536.0000,avg
16384,float,10.0000,1.2532,3072.0000,1
16384,float,10.0000,1.2526,3072.0000,2
16384,float,10.0000,1.2478,3072.0000,3
16384,float,10.0000,1.2477,3072.0000,4
16384,float,10.0000,1.2472,3072.0000,5
16384,float,10.0000,1.2497,3072.0000,avg
16384,short,50.0000,1.2149,1536.0000,1
16384,short,50.0000,2.2246,1536.0000,2
16384,short,50.0000,1.2160,1536.0000,3
16384,short,50.0000,1.2149,1536.0000,4
16384,short,50.0000,1.2116,1536.0000,5
16384,short,50.0000,1.4164,1536.0000,avg
16384,float,50.0000,1.2545,3072.0000,1
16384,float,50.0000,1.2533,3072.0000,2
16384,float,50.0000,1.2534,3072.0000,3
16384,float,50.0000,1.2532,3072.0000,4
16384,float,50.0000,1.2534,3072.0000,5
16384,float,50.0000,1.2535,3072.0000,avg
16384,short,100.0000,1.2165,1536.0000,1
16384,short,100.0000,1.2154,1536.0000,2
16384,short,100.0000,2.3183,1536.0000,3
16384,short,100.0000,1.2155,1536.0000,4
16384,short,100.0000,1.2162,1536.0000,5
16384,short,100.0000,1.4364,1536.0000,avg
16384,float,100.0000,1.2583,3072.0000,1
16384,float,100.0000,1.2583,3072.0000,2
16384,float,100.0000,1.2589,3072.0000,3
16384,float,100.0000,1.2576,3072.0000,4
16384,float,100.0000,1.2594,3072.0000,5
16384,float,100.0000,1.2585,3072.0000,avg
